DataDate,kappa_v,theta_v,sigma_v,rho,v0,lamb,mu,delta
20170403,6.852438428,0.02434292,0.082164171,-0.950476841,0.010454151,6.96E-07,-0.001424802,1.34E-05
20170404,1.988455535,0.047317118,0.049351216,0.998589187,0.008351498,8.42E-05,-0.304203908,0.041913865
20170405,1.476265444,0.040462227,0.345636769,-0.98987282,0.020830983,0.007419612,-0.001434111,0.002731168
20170406,0.827629881,0.065141028,8.76E-06,-0.00320276,0.011445702,4.40E-11,-0.20000117,2.92E-08
20170407,1.198955117,0.078558891,0.227257146,-0.126273906,0.010169196,7.68E-10,-0.103685074,0.001401781
20170410,14.81906389,0.02830433,0.914598398,-0.54525483,0.009928191,0.032319856,-0.597125249,0.013822616
20170411,9.946292439,0.02669375,0.728680707,-0.379599271,0.014357896,0.00130649,-0.131695014,0.009418382
20170412,2.200281545,0.050048917,0.469300385,-0.920111435,0.026438825,0.010791807,-0.599992298,0.002235989
20170413,17.27973323,0.031758321,1.047604382,-0.701350751,0.025664853,0.000814248,-0.599160926,0.004753579
20170417,3.341929618,0.011337996,0.02668095,-0.998983532,0.022236699,3.70E-08,-0.548927579,0.000255229
20170418,5.572458509,0.005043789,0.014519815,-0.912414665,0.025322156,0.000361869,-0.015890271,6.08E-06
20170419,1.757386575,0.023724593,0.288766535,-0.527319163,0.022248799,1.16E-07,-0.051057004,5.17E-05
20170420,14.56298929,0.007600585,0.47023474,0.100185727,0.024005578,0.022456131,-0.599776386,2.76E-07
20170421,41.31025009,0.01227538,0.551995975,-0.429539071,0.028045888,0.097377207,-0.424650954,0.011836284
20170424,215.9136459,0.011425953,8.89E-08,-0.024168859,0.065315139,0.000313522,-0.001175078,0.002620416
20170425,661.610773,0.01147017,0.000151713,-0.448828765,0.044815674,0,-0.2,0
20170426,8.480090679,0.005023967,0.025236416,0.172760791,0.017622713,0.02025552,-0.391756327,4.52E-07
20170427,3.402921016,0.041862658,0.533669672,-0.996713635,0.010574782,0.00150462,-6.43E-05,0.00384907
20170428,40.38832807,0.021282901,1.311080752,-0.834998998,0.00720796,0.136681765,-0.163301409,0.051259545
