Month,Riverside-San Bernardino-Ontario,Los Angeles-Long Beach-Anaheim
1975M01,21.78,15.76
1975M02,21.84,15.87
1975M03,22.08,16.12
1975M04,22.49,16.5
1975M05,22.83,16.83
1975M06,22.99,17
1975M07,23.15,17.16
1975M08,23.45,17.41
1975M09,23.78,17.68
1975M10,24.09,17.92
1975M11,24.3,18.09
1975M12,24.48,18.23
1976M01,24.73,18.44
1976M02,25.02,18.68
1976M03,25.38,19
1976M04,25.79,19.36
1976M05,26.1,19.66
1976M06,26.41,19.96
1976M07,26.83,20.33
1976M08,27.28,20.69
1976M09,27.69,21.02
1976M10,28.14,21.35
1976M11,28.7,21.74
1976M12,29.27,22.13
1977M01,29.86,22.53
1977M02,30.58,23.04
1977M03,31.43,23.66
1977M04,32.22,24.27
1977M05,32.99,24.9
1977M06,33.76,25.54
1977M07,34.39,26.09
1977M08,35.06,26.66
1977M09,35.6,27.1
1977M10,36.01,27.4
1977M11,36.43,27.69
1977M12,36.82,27.95
1978M01,37.29,28.26
1978M02,37.74,28.55
1978M03,38.17,28.83
1978M04,38.7,29.2
1978M05,39.35,29.65
1978M06,39.95,30.07
1978M07,40.48,30.43
1978M08,41.02,30.81
1978M09,41.55,31.2
1978M10,42.15,31.65
1978M11,42.59,31.99
1978M12,42.83,32.18
1979M01,43.11,32.42
1979M02,43.53,32.78
1979M03,44.13,33.31
1979M04,44.86,33.96
1979M05,45.63,34.66
1979M06,46.29,35.27
1979M07,46.84,35.8
1979M08,47.56,36.46
1979M09,48.33,37.15
1979M10,48.83,37.63
1979M11,49.22,38.01
1979M12,49.55,38.36
1980M01,49.88,38.74
1980M02,50.33,39.24
1980M03,50.89,39.86
1980M04,51.36,40.42
1980M05,51.64,40.8
1980M06,51.97,41.22
1980M07,52.57,41.83
1980M08,53.25,42.49
1980M09,53.67,42.92
1980M10,53.74,43.03
1980M11,53.66,42.98
1980M12,53.99,43.19
1981M01,54.68,43.67
1981M02,55.25,44.04
1981M03,55.68,44.31
1981M04,56.07,44.57
1981M05,56.67,45.03
1981M06,57.47,45.66
1981M07,58.03,46.11
1981M08,58.32,46.34
1981M09,58.64,46.58
1981M10,58.9,46.75
1981M11,58.84,46.63
1981M12,58.63,46.38
1982M01,58.57,46.23
1982M02,58.7,46.22
1982M03,58.95,46.3
1982M04,59.25,46.42
1982M05,59.34,46.38
1982M06,58.99,46.02
1982M07,58.45,45.55
1982M08,58.13,45.33
1982M09,58.06,45.37
1982M10,58.07,45.55
1982M11,58.14,45.83
1982M12,58.2,46.1
1983M01,58.11,46.23
1983M02,57.98,46.31
1983M03,57.94,46.44
1983M04,58.03,46.65
1983M05,58.1,46.84
1983M06,58.13,47
1983M07,58.21,47.2
1983M08,58.17,47.3
1983M09,58.02,47.31
1983M10,57.89,47.33
1983M11,57.82,47.36
1983M12,57.85,47.44
1984M01,57.99,47.57
1984M02,58.15,47.7
1984M03,58.37,47.85
1984M04,58.65,48.03
1984M05,58.86,48.15
1984M06,58.98,48.18
1984M07,59.1,48.22
1984M08,59.26,48.32
1984M09,59.42,48.45
1984M10,59.52,48.56
1984M11,59.52,48.62
1984M12,59.52,48.71
1985M01,59.6,48.87
1985M02,59.75,49.1
1985M03,59.9,49.34
1985M04,59.95,49.49
1985M05,60.04,49.68
1985M06,60.42,50.11
1985M07,60.86,50.6
1985M08,61.17,50.97
1985M09,61.37,51.26
1985M10,61.37,51.36
1985M11,61.32,51.41
1985M12,61.39,51.52
1986M01,61.52,51.66
1986M02,61.86,51.96
1986M03,62.34,52.38
1986M04,62.72,52.75
1986M05,63.14,53.18
1986M06,63.7,53.76
1986M07,64.17,54.28
1986M08,64.45,54.64
1986M09,64.58,54.89
1986M10,64.88,55.32
1986M11,65.29,55.88
1986M12,65.49,56.26
1987M01,65.77,56.71
1987M02,66.08,57.19
1987M03,66.51,57.79
1987M04,67.01,58.51
1987M05,67.4,59.21
1987M06,67.81,60
1987M07,68.1,60.71
1987M08,68.37,61.43
1987M09,68.75,62.29
1987M10,69.04,63.08
1987M11,69.24,63.8
1987M12,69.49,64.55
1988M01,69.8,65.37
1988M02,70.19,66.25
1988M03,70.74,67.31
1988M04,71.42,68.54
1988M05,72.17,69.86
1988M06,73.02,71.35
1988M07,73.88,72.92
1988M08,74.68,74.49
1988M09,75.59,76.15
1988M10,76.63,77.88
1988M11,77.64,79.48
1988M12,78.57,80.9
1989M01,79.46,82.16
1989M02,80.49,83.43
1989M03,81.92,85.01
1989M04,83.55,86.67
1989M05,85.13,88.14
1989M06,86.59,89.37
1989M07,88.07,90.57
1989M08,89.49,91.69
1989M09,90.52,92.41
1989M10,91.51,93.06
1989M11,92.56,93.68
1989M12,93.51,94.17
1990M01,94.18,94.36
1990M02,94.66,94.34
1990M03,95.34,94.51
1990M04,95.89,94.53
1990M05,96.18,94.28
1990M06,96.54,94.16
1990M07,96.97,94.19
1990M08,97.1,94
1990M09,96.87,93.5
1990M10,96.4,92.79
1990M11,95.81,92.02
1990M12,95.49,91.54
1991M01,95.18,91.08
1991M02,94.77,90.53
1991M03,94.62,90.24
1991M04,94.58,90.07
1991M05,94.56,89.94
1991M06,94.52,89.86
1991M07,94.42,89.76
1991M08,94.03,89.39
1991M09,93.84,89.16
1991M10,93.98,89.22
1991M11,93.98,89.1
1991M12,93.87,88.9
